IDENT_DIV,IDENT_SUFX_CD,xlisting,DEPARTMENT,CRS_TITLE,credit,CRS_DESCRIPTION,FORMAT,FINALEXAMSTATUS,PREREQS,CR_RESTRICT,AC,AL,BS,HS,IS,PV,PS,SS,RCA,RCB,pubHealthMaj
"A,RESEC",261,,Agricultural and Resource Economics,Environmental and Resource Economics,3,"Theory of renewable and nonrenewable natural resource use, with applications to forests, fisheries, energy, and climate change. Resources, growth, and sustainability. Economic theory of environmental policy. Externality; the Coasian critique; tax incidence and anomalies; indirect taxes; the double dividend; environmental standards; environmental regulation; impact of uncertainty on taxes and standards; mechanism design; monitoring, penalties, and regulatory strategy; emissions markets.",Three hours of Lecture per week for 15 weeks.,N,Ph.D.-level economic theory or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ARCH,240,,Architecture,Advanced Study of Energy and Environment,3,"Minimizing energy use is a cornerstone of designing and operating sustainable buildings, and attention to energy issues can often lead to greatly improved indoor environmental quality. For designers, using computer-based energy analysis tools are important not only to qualify for sustainability ratings and meet energy codes, but also to develop intuition about what makes buildings perform well. This course will present quantitative and qualitative methods for assessing energy performance during design of both residential and commercial buildings. Students will get hands-on experience with state-of-the-art software -- ranging from simple to complex -- to assess the performance of building components and whole-building designs. ", Three hours of lecture/seminar per week. ,N,140 or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARCH,275,,Architecture,Introduction to Architectural Theory 1945 - Present,3,"This seminar provides an introduction to architectural theory since 1945, with emphasis on developments over the last three decades. Class readings, and discussions explore the post-World War II crisis within modernism, postmodernism within and beyond architectural culture, and more recent developments around issues such as rapid urbanization, sustainability, the politics of cultural identity and globalization. Transformations in architectural theory are examined in relation to historical forces such as the economy, the growth and transformation of cities, and the changing relationship between design professions and disciplines. The influences of digital media, new materials and production techniques on architectural education and practice are explored and the implications for architectural theory assessed. Key issues are anchored in case studies of buildings, urban spaces, and the institutions and agents or architectural culture. ",Three hours of Seminar per week for 15 weeks.,N,The course is open to upper division undergraduates and graduate students. ,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARCH,175,,Architecture,Introduction to Architectural Theory 1945-Present,3,"This seminar provides an introduction to architectural theory since 1945, with emphasis on developments over the last three decades. Class readings and discussions explore the post-World War II crisis within modernism, postmodernism within and beyond architectural culture, and more recent developments around issues such as rapid urbanization, sustainability, the politics of cultural identity, and globalization. Transformations in architectural theory are examined in relation to historical forces such as the economy, the growth and transformation of cities, and the changing relationship between design professions and disciplines. The influences of digital media, new materials and production techniques on architectural education and practice are explored and the implications for architectural theory assessed. Key issues are anchored in case studies of buildings, urban spaces, and the institutions and agents of architectural culture. ",Three hours of Seminar per week for 15 weeks.,N,Open to upper division undergraduates and graduate students. ,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEM,C234,"ESPM C234PB HLTH C234,",Chemistry,Green Chemistry: An Interdisciplonary Approach to Sustainability,3,"Meeting the challenge of global sustainability will require interdisciplinary approaches to research and education, as well as the integration of this new knowledge into society, policymaking, and business. Green Chemistry is an intellectual framework created to meet these challenges and guide technological development. It encourages the design and production of safer and more sustainable chemicals and products. ",Three hours of Lecture per week for 15 weeks.  Twenty hours of Lecture per week for 6 weeks.,N,"One year of chemistry, including a semester of organic chemistry, or consent of instructors based on previous experience. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ESPM,C234,"ESPM C234PB HLTH C234,",Chemistry,Green Chemistry: An Interdisciplonary Approach to Sustainability,3,"Meeting the challenge of global sustainability will require interdisciplinary approaches to research and education, as well as the integration of this new knowledge into society, policymaking, and business. Green Chemistry is an intellectual framework created to meet these challenges and guide technological development. It encourages the design and production of safer and more sustainable chemicals and products. ",Three hours of Lecture per week for 15 weeks.  Twenty hours of Lecture per week for 6 weeks.,N,"One year of chemistry, including a semester of organic chemistry, or consent of instructors based on previous experience. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PB HLTH,C234,"ESPM C234PB HLTH C234,",Chemistry,Green Chemistry: An Interdisciplonary Approach to Sustainability,3,"Meeting the challenge of global sustainability will require interdisciplinary approaches to research and education, as well as the integration of this new knowledge into society, policymaking, and business. Green Chemistry is an intellectual framework created to meet these challenges and guide technological development. It encourages the design and production of safer and more sustainable chemicals and products. ",Three hours of Lecture per week for 15 weeks.  Twenty hours of Lecture per week for 6 weeks.,N,"One year of chemistry, including a semester of organic chemistry, or consent of instructors based on previous experience. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CY PLAN,219,,City and Regional Planning,Comparative International Topics in Transportation,3,"Covers comparative planning and policy topics in urban, regional, and rural transportation that are transnational in nature. Builds policy lessons on planning for mobility, accessibility, and sustainability in different political and contextual settings. Case studies are drawn from both developed and developing countries. ", Three hours of lecture/discussion per week. ,N,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CY PLAN,119,,City and Regional Planning,Planning for Sustainability,3,"This course examines how the concept of sustainable development applies to cities and urban regions and gives students insight into a variety of contemporary urban planning issues through the sustainability lens. The course combines lectures, discussions, student projects, and guest appearances by leading practitioners in Bay Area sustainability efforts. Ways to coordinate goals of environment, economy, and equity at different scales of planning are addressed, including the region, the city, the neighborhood, and the site. ", Three hours of lecture/discussion per week. ,Y,Open to majors in all fields. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CY PLAN,254,,City and Regional Planning,Sustainable Communities,3,"This course examines and explores the concept of sustainable development at the community level. The course has three sections: (1) an introduction to the discourse on sustainable development; (2) an exploration of several leading attempts to incorporate sustainability principles into plans, planning, and urban design; (3) an examination of European attempts to establish metropolitan patterns and urban designs for a more sustainable ""green urbanism."" ", Three hours of lecture/discussion per week. ,N,Graduate standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CIV ENG,11,,Civil and Environmental Engineering,Engineered Systems and Sustainability,3,"An introduction to key engineered systems (e.g., energy, water supply, buildings, transportation) and their environmental impacts. Basic principles of environmental science needed to understand natural processes as they are influenced by human activities. Overview of concepts and methods of sustainability analysis. Critical evaluation of engineering approaches to address sustainability. ",Three hours of Lecture per week for 15 weeks.,Y,"Chemistry 1A, Mathematics 1A. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CIV ENG,209,,Civil and Environmental Engineering,Design for Sustainable Communities,3,"This course provides conceptual and hands-on experience in design and implementation of innovative products or processes for improving the sustainability of resource-constrained communities (mostly poor ones in the developing countries). Teams of students will take on practical projects, with guidance from subject experts. ",Three hours of Lecture per week for 15 weeks.,N,Graduate standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CIV ENG,264,,Civil and Environmental Engineering,"Behavioral Modeling for Engineering, Planning, and Policy Analysis",3,"Many aspects of engineering, planning, and policy involve a human element, be it consumers, businesses, governments, or other organizations. Effective design and management requires understanding this human response. This course focuses on behavioral theories and the use of quantitative methods to analyze human response. A mix of theory and practical tools are covered, with applications drawn from infrastructure investment and use, urban growth and design, health, and sustainability. ",Three hours of Lecture per week for 15 weeks.,Y,262 or City and Regional Planning 204 or equivalent. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CIV ENG,112,,Civil and Environmental Engineering,Environmental Engineering Design,3,"Engineering design and project management of environmental systems. Students will complete a design project focusing on pollution control in a selected environmental system. Lectures and project activities will address process design, economic optimization, legal and institutional constraints on design, and project management. Additional components of design (e.g., hydraulics, engineering sustainability, plant structures) will be included. ",Two hours of Lecture and  Three hours of Laboratory per week for 15 weeks.,N,"Civil and Environmental Engineering 100, 111. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
COLWRIT,192AC,,College Writing Program,Advanced Composition: Community-Based Ethics,3,"Communities are challenged by issues of security, poverty, and environmental sustainability. These issues intersect with those of race, class, and culture in U.S. society. This course focuses on ethical decisions as they apply to issues of diversity, sustainable practices, economic impacts on neighborhoods and nations, and issues of security and identity. This course focuses on writing and research skills. ",Three hours of Lecture per week for 15 weeks.  Seven and one-half hours of Lecture per week for 6 weeks.,N,Successful completion of the first semester of Reading and Composition. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
DEVP,235,,Development Practice,Economic Development and Policy,3,"Learn to apply the tools of economic analysis to problems of growth, poverty, and environmental sustainability in developing countries and to understand what can be done to promote development through policies and investment projects, and learn to analyze the economic, social, and environmental impacts of specific initiatives. This course will teach students to use data to conduct development analyses and learn to prepare the corresponding reports for international development agencies and policymakers. ",Three hours of Lecture per week for 15 weeks.,Y,Microeconomics and econometrics at the undergraduate upper-division or Master's level. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ESPM,181A,,"Environ Sci, Policy, and Management",Wildland Fire Science,3,"Fundamentals of wildland fire including fire behavior modeling, fire history methods, prescribed fire techniques, fire ecology, fire management, fire in the urban-wildland intermix, wildland fire, and ecosystem sustainability. Laboratories on inventory methods, fire history, modeling of fire behavior and risk, and prescribed burning. ",Two hours of Lecture and  Three hours of Laboratory per week for 15 weeks.,Y,Consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ESPM,273,,"Environ Sci, Policy, and Management",Ecosystem Management,3,"Examine major issues and approaches in ecosystem management. Topics include development of the ecosystem approach, valuation of ecosystem commodities and services, assessment of ecosystem sustainability, simulation and prediction of ecosystem dynamics, decision-making methods, social and institutional aspects. Particular emphasis is given to emerging conceptual frameworks and analytical tools. ",Three hours of Lecture per week for 15 weeks.,N,"Basic ecology, microeconomics, and resource management. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ESPM,261,,"Environ Sci, Policy, and Management",Sustainability and Society,3,"Science-based technologies that are central to the search for sustainability in contemporary societies and their environmental impacts. Theoretical approaches to investigating how science, technology, and environment intersect. How societies move closer to sustainable technological systems. Redesign of existing technologies and the introduction of new technologies. How adverse impacts can be prevented through policy. Case studies of contemporary developments. ",Two hours of Lecture per week for 15 weeks.,N,Graduate standing or consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ESPM,181,,"Environ Sci, Policy, and Management",Wildland Fire Science,3,"Fundamentals of wildland fire including fire behavior modeling, fire history methods, prescribed fire techniques, fire ecology, fire management, fire in the urban-wildland intermix, wildland fire, and ecosystem sustainability. Laboratories on inventory methods, fire history, modeling of fire behavior and risk, and prescribed burning. ",Two hours of Lecture and  Three hours of Laboratory per week for 15 weeks.,Y,Consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENV DES,102,,Environmental Design,Critical Debates in Sustainable Urbanism,3,"The aim of the course is to provide students with knowledge and insight into the major issues and debates relating to sustainabiltiy. By the end of the course, students should have a critical understanding of the complexity and scale of the sustainability challenge, how different actors characterize and understand sustainability, the approaches that have been developed to implement these varyig vissions, and the institutional, political, and individual barriers to these visions ",Three hours of Lecture per week for 15 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LD ARCH,130,,Landscape Architecture,Sustainable Landscapes and Cities,3,"This course introduces the foundations of sustainability most related to the restoration, design, and creation of landscapes and cities. The underlying principles of ecology, nature, and democracy are concretized in centered-ness, connectedness, fairness, sensible status seeking, sacredness, particular-ness, selective diversity, density and smallness, limited extent, adaptability, everyday future, naturalness, inhabiting science, reciprocal stewardship, and pacing. ",Three hours of Lecture per week for 15 weeks.  Six hours of Lecture per week for 8 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MEC ENG,127,,Mechanical Engineering,"Composite Materials--Analysis, Design, Manufacture",3,"Properties and microstructure of high-strength fiber materials (glass, carbon, polymer, ceramic fibers) and matrix materials (polymer, metal, ceramic, and carbon matrices). Specific strength and stiffness of high-performance composites. Stress, strain and stiffness transformations. Elastic properties of a single orthotropic ply. Laminated plate theory. Failure criteria. Short fiber composites. Manufacturing processes. Sandwich panels. Joints. Design of composite structures and components. Sustainability and recycling. Laboratory sessions on manufacturing processes and testing. Assigned class design projects on design and manufacturing of composites. ",Three hours of Lecture per week for 15 weeks.,Y,Civil and Environmental Engineering 130 or 130N or equivalent course in mechanics of materials; Engineering 36 and 45. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MEC ENG,191AC,,Mechanical Engineering,Cases and Conflicts in Engineering Ethics,3,"Engineering is challenged by issues of security, poverty and under-development, and environmental sustainability. These issues intersect with those of race, class, and culture in U.S. society. This course focuses on engineering ethics case studies as they apply to issues of workplace diversity, sustainable practices, economic impacts on neighborhoods and nations, and issues of security and identity. The goal of this course is to broaden the understanding of engineering ethics from individual and business-based practices to those affecting communities and nations. This class cannot be used to satisfy any Engineering requirement (technical electives, engineering units, or courses). ",Six hours of Lecture per week for 8 weeks.,N,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
MEC ENG,290I,,Mechanical Engineering,Sustainable Manufacturing,3,"Sustainable design, manufacturing, and management as exercised by the enterprise is a poorly understood idea and one that is not intuitively connected to business value or engineering practice. This is especially true for the manufacturing aspects of most enterprises (tools, processes, and systems). This course will provide the basis for understanding (1) what comprises sustainable practices in for-profit enterprises, (2) how to practice and measure continuous improvement using sustainability thinking, techniques, and tools for product and manufacturing process design, and (3) the techniques for and value of effective communication of sustainablilty performance to internal and external audiences. Material in the course will be supplemented by speakers with diverse backgrounds in corporate sustainability, environmental consulting, non-governmental organizations, and academia. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,N,"Graduate standing, or consent of instructor, especially for students not in engineering, business, or other management of technology programs. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MEC ENG,290H,,Mechanical Engineering,Green Product Development: Design for Sustainability,3,"The focus of the course is management of innovation processes for sustainable products, from product definition to sustainable manufacturing and financial models. Using a project in which students will be asked to design and develop a product or service focused on sustainability, we will teach processes for collecting customer and user needs data, prioritizing that data, developing a product specification, sketching and building product prototypes, and interacting with the customer/community during product development. The course is intended as a very hands-on experience in the ""green"" product development process. The course will be a Management of Technology course offered jointly with the College of Engineering and the Haas School of Business. In addition, it will also receive credit towards the new Certificate on Engineering Sustainability and Environmental Management program. We aim to have half MBA students and half Engineering students (with a few other students, such as from the School of Information) in the class. The instructors will facilitate students to form mixed disciplinary reams for the development of their ""green"" products. "," Three hours of lecture per week, plus optional discussion section. ",N,"Graduate standing in Engineering or Information, or consent of instructor. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"A,RESEC",C253,"PUB POL C253,",Public Policy,International Economic Development Policy,3,"This course emphasizes the development and application of policy solutions to developing-world problems related to poverty, macroeconomic policy, and environmental sustainability. Methods of statistical, economic, and policy analysis are applied to a series of case studies. The course is designed to develop practical professional skills for application in the international arena. ",Three hours of Lecture per week for 15 weeks.,N,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PUB POL,C253,"PUB POL C253,",Public Policy,International Economic Development Policy,3,"This course emphasizes the development and application of policy solutions to developing-world problems related to poverty, macroeconomic policy, and environmental sustainability. Methods of statistical, economic, and policy analysis are applied to a series of case studies. The course is designed to develop practical professional skills for application in the international arena. ",Three hours of Lecture per week for 15 weeks.,N,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ESPM,178B,,"Environ Sci, Policy, and Management",Environmental Science Education Practicum,4,"Framed around the topic of sustainability, the course engages students from different science majors to apply the content knowledge from their discipline to build curriculum pieces for presentation in high school classrooms. Students develop pedagogical content knowledge and relate teaching theory to practice. Additional topics covered include classroom management and leadership, lesson planning, presentation skills, and readings in science education. ","Three hours of Lecture, One hour of Discussion, and  Three hours of Fieldwork per week for 15 weeks.",Y,Consent of instructor. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENV DES,R3B,,Environmental Design,"Reading and Composition in Energy, Society, and Environmental Design",4,"This course will expose students to key literature that examines, primarily, the relationship between sustainability and environmental design disciplines. Our goal will be not only to investigate the central ideas that inform the design of sustainable landscapes, cities, and buildings, but also to understand how competing arguments are presented in writing. Satisfies the second half of the Reading and Composition Requirement. ",Three hours of Lecture per week for 15 weeks.,N,UC Entry Writing Requirement or UC Analytical Writing Placement Exam. R1A or equivalent course is prerequisite to R1B. ,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ECON,C102,"ENVECON C102,",Environmental Economics and Policy,Natural Resource Economics,4,"Introduction to the economics of natural resources. Land and the concept of economic rent. Models of optimal depletion of nonrenewable resources and optimal use of renewable resources. Application to energy, forests, fisheries, water, and climate change. Resources, growth, and sustainability. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,"100, or Economics 100A or 100B. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENVECON,C102,"ENVECON C102,",Environmental Economics and Policy,Natural Resource Economics,4,"Introduction to the economics of natural resources. Land and the concept of economic rent. Models of optimal depletion of nonrenewable resources and optimal use of renewable resources. Application to energy, forests, fisheries, water, and climate change. Resources, growth, and sustainability. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,"100, or Economics 100A or 100B. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ENVECON,161,,Environmental Economics and Policy,Advanced Topics in Environmental and Resource Economics,4,"The roots of environmental and resource economics. Theories of land and resource rent. Models of optimal use of renewable and nonrenewable resources with applications to energy and timber. Balancing environmental and extractive values. Resources, growth, and sustainability. Special topic: the problem of global climate change. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,100 or Economics 100A or Economics 101A; 101 recommended. ,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ENVECON,102,,Environmental Economics and Policy,Natural Resource Economics,4,"Introduction to the economics of natural resources. Land and the concept of economic rent. Models of optimal depletion of nonrenewable resources and optimal use of renewable resources. Application to energy, forests, fisheries, water, and climate change. Resources, growth, and sustainability. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.,Y,"100, 101. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
GEOG,35,,Geography,Global Ecology and Development,4,"Problems of Third World poverty and development have come to be seen as inseparable from environmental health and sustainability. The course explores the global and interconnected character of environment and development in the less developed world. Drawing on case studies of the environmental problems of the newly industrializing states, food problems, and environmental security in Africa, and the global consequences of tropical deforestation in Amazonia and carbon dioxide emissions in China, this course explores how growth and stagnation are linked to problems of environmental sustainability. ",Three hours of Lecture and  One hour of Discussion per week for 15 weeks.  Six hours of Lecture and  One and one-half hours of Discussion per week for 8 weeks.  Eight hours of Lecture and  Two hours of Discussion per week for 6 weeks.,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENV SCI,C12,"LD ARCH C12,",Landscape Architecture,Environmental Science for Sustainable Development,4,"The scientific basis of sustainability, explored through study of energy, water, food, natural resources, and built environment. Physical/ecological processes and systems, and human impacts from the global scale to local energy/resource use. Energy and water audits of University of California at Berkeley, opportunities to increase sustainability of processes/practices. Discussion/lab section involves data collection/analysis (e.g., Strawberry Creek, atmospheric particulates) and integrative sustainability assessment project. ", Three hours of lecture and one hour of discussion/laboratory. ,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LD ARCH,C12,"LD ARCH C12,",Landscape Architecture,Environmental Science for Sustainable Development,4,"The scientific basis of sustainability, explored through study of energy, water, food, natural resources, and built environment. Physical/ecological processes and systems, and human impacts from the global scale to local energy/resource use. Energy and water audits of University of California at Berkeley, opportunities to increase sustainability of processes/practices. Discussion/lab section involves data collection/analysis (e.g., Strawberry Creek, atmospheric particulates) and integrative sustainability assessment project. ", Three hours of lecture and one hour of discussion/laboratory. ,Y,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
